WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 209-962-906
INFO:werkzeug: * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO:werkzeug: * Detected change in 'F:\\Repos\\Sheriff_Sale\\flask_app\\scrapers\\sheriff_sale.py', reloading
2020-03-17 15:59:01,408:ERROR:764 RAHWAY AVENUE ELIZABETH NJ 07202-2260
2020-03-17 15:59:01,408:ERROR:2601 ORCHARD TERRACE LINDEN NJ 07036
2020-03-17 15:59:01,408:ERROR:605 ORCHARD MEADOWS DRIVE UNION NJ 07083
2020-03-17 15:59:01,408:ERROR:133-135 WEST GIBBONS STREET LINDEN NJ 07036
2020-03-17 15:59:01,408:ERROR:1222 ORANGE AVENUE UNION NJ 07083
2020-03-17 15:59:01,408:ERROR:660-672 NORTH BROAD STREET UNIT 15 WITH A MAILING ADDRESS OF 668 NORTH BROAD STREET ELIZABETH NJ 07208
2020-03-17 15:59:01,408:ERROR:463-465 IRVINGTON AVENUE WITH MAILING ADDRESS OF 467 IRVINGTON AVENUE. PLEASE POST 467 IRVINGTON AVENUE ELIZABETH NJ 07208
2020-03-17 15:59:01,408:ERROR:424 WINTHROP PLACE A/K/A 424-426 WINTHROP PLACE ELIZABETH NJ 07208
2020-03-17 15:59:01,408:ERROR:1583 LAWRENCE STREET RAHWAY NJ 07065
2020-03-17 15:59:01,408:ERROR:2426 HILL ROAD SCOTCH PLAINS NJ 07076
2020-03-17 15:59:01,408:ERROR:2027 EDISON TERRACE UNION NJ 07083
2020-03-17 15:59:01,408:ERROR:1234 CAMERON AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,408:ERROR:250 KENT PLACE BLVD SUMMIT NJ 07901
2020-03-17 15:59:01,408:ERROR:124 WOODRUFF PLACE HILLSIDE NJ 07205
2020-03-17 15:59:01,408:ERROR:684-88 WEST 7TH STREET PLAINFIELD NJ 07060
2020-03-17 15:59:01,409:ERROR:701 SHERMAN AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,409:ERROR:1550 GREGORY AVENUE UNION NJ 07083
2020-03-17 15:59:01,409:ERROR:579 LEO STREET HILLSIDE NJ 07205
2020-03-17 15:59:01,409:ERROR:2236 PRICE STREET RAHWAY NJ 07065
2020-03-17 15:59:01,409:ERROR:256 WESTFIELD AVENUE ELIZABETH NJ 07201
2020-03-17 15:59:01,409:ERROR:130  E STIMPSON AVENUE LINDEN NJ 07036
2020-03-17 15:59:01,409:ERROR:930 KENNETH AVENUE ELIZABETH NJ 07201
2020-03-17 15:59:01,409:ERROR:329 SUMMIT ROAD UNION NJ 07083
2020-03-17 15:59:01,409:ERROR:1603 WOOD AVENUE UNIT C1 ROSELLE NJ 07203
2020-03-17 15:59:01,409:ERROR:400 INWOOD ROAD LINDEN NJ 07036
2020-03-17 15:59:01,409:ERROR:1905 WOOD AVENUE APT. A1, UNIT A-1, BUILDING 2, WOODS END, A CONDOMINIUM ROSELLE NJ 07203
2020-03-17 15:59:01,409:ERROR:167 MYRTLE AVENUE GARWOOD NJ 07027
2020-03-17 15:59:01,409:ERROR:426-428 LINDEN STREET ELIZABETH NJ 07201
2020-03-17 15:59:01,409:ERROR:801 EAST 6TH STREET PLAINFIELD NJ 07062
2020-03-17 15:59:01,409:ERROR:520 HIDDEN HOLLOW SCOTCH PLAINS NJ 07076
2020-03-17 15:59:01,409:ERROR:651 MICHIGAN AVENUE KENILWORTH NJ 07033
2020-03-17 15:59:01,410:ERROR:211 RARITAN ROAD LINDEN NJ
2020-03-17 15:59:01,410:ERROR:460 ORCHARD STREET RAHWAY NJ 07065
2020-03-17 15:59:01,410:ERROR:58 RAYMOND AVENUE PLAINFIELD NJ 07062
2020-03-17 15:59:01,410:ERROR:1025 SPRUCE STREET ROSELLE NJ 07203
2020-03-17 15:59:01,410:ERROR:718-720 RICHMOND STREET MAILING ADDRESS OF 720 RICHMOND STREET PLAINFIELD NJ 07060
2020-03-17 15:59:01,410:ERROR:129 BERWICK STREET ELIZABETH NJ 07202-1603
2020-03-17 15:59:01,410:ERROR:115 MURRAY STREET A/K/A 113-115 MURRAY STREET ELIZABETH NJ 07202
2020-03-17 15:59:01,410:ERROR:1844 CIDER MILL ROAD UNION NJ 07083
2020-03-17 15:59:01,410:ERROR:611 EAST 3RD STREET PLAINFIELD NJ 07060
2020-03-17 15:59:01,410:ERROR:724-730 WADSWORTH AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,410:ERROR:1341-1343 EAST 2ND STREET MAILING ADDRESS OF 1341 EAST 2ND STREET PLAINFIELD NJ 07062
2020-03-17 15:59:01,410:ERROR:1334 PIERCE STREET RAHWAY NJ 07065
2020-03-17 15:59:01,410:ERROR:339-345 MORRIS AVENUE ELIZABETH NJ 07208
2020-03-17 15:59:01,410:ERROR:20 JOHNSON STREET SCOTCH PLAINS NJ 07076
2020-03-17 15:59:01,410:ERROR:843 E. 6TH STREET A/K/A 841-45 E 6TH STREET PLAINFIELD NJ 07060 AKA 07062
2020-03-17 15:59:01,410:ERROR:1101 SAYRE ROAD UNION NJ 07083
2020-03-17 15:59:01,410:ERROR:6 BREEZY COURT SCOTCH PLAINS NJ 07076
2020-03-17 15:59:01,411:ERROR:230 NORTH 12TH STREET KENILWORTH NJ 07033
2020-03-17 15:59:01,411:ERROR:243 FIRST STREET ELIZABETH NJ 07206
2020-03-17 15:59:01,411:ERROR:627 AMHERST ROAD LINDEN NJ 07036
2020-03-17 15:59:01,411:ERROR:1224 GRAY AVENUE UNION NJ 07083
2020-03-17 15:59:01,411:ERROR:840 MOUNTAIN AVENUE SPRINGFIELD NJ 07081
2020-03-17 15:59:01,411:ERROR:63 MECKES STREET SPRINGFIELD NJ 07081
2020-03-17 15:59:01,411:ERROR:104 VICTORY STREET ROSELLE NJ 07203
2020-03-17 15:59:01,411:ERROR:202 WEST SCOTT AVENUE RAHWAY NJ 07065
2020-03-17 15:59:01,411:ERROR:1638 ANDREW STREET NORTH A/K/A 1638 ANDREW STREET UNION NJ 07083
2020-03-17 15:59:01,411:ERROR:65 LOCUST AVENUE FANWOOD NJ 07023
2020-03-17 15:59:01,411:ERROR:57 HILLSIDE AVENUE HILLSIDE NJ 07205
2020-03-17 15:59:01,411:ERROR:37 RUSSELL PLACE WITH A MAILING ADDRESS OF 35 RUSSELL PLACE SUMMIT NJ 07901
2020-03-17 15:59:01,411:ERROR:2522 CRANE PLACE UNION NJ 07083
2020-03-17 15:59:01,411:ERROR:1200-04 EAST 2ND STREET MAILING ADDRESS OF 1200 EAST 2ND STREET, PLAINFIELD, NJ 07060 PLAINFIELD NJ 07062
2020-03-17 15:59:01,411:ERROR:558 THOREAU TERRACE UNION NJ 07083
2020-03-17 15:59:01,411:ERROR:1931 MONTGOMERY STREET RAHWAY NJ 07065
2020-03-17 15:59:01,411:ERROR:437 COOLIDGE DRIVE KENILWORTH NJ 07033
2020-03-17 15:59:01,412:ERROR:1273 OAKWOOD AVENUE HILLSIDE NJ 07205-2421
2020-03-17 15:59:01,412:ERROR:601 KAPLAN STREET ROSELLE NJ 07203
2020-03-17 15:59:01,412:ERROR:346-348 FAY AVENUE ELIZABETH NJ 07201
2020-03-17 15:59:01,412:ERROR:1 IRVING PLACE SUMMIT` NJ
2020-03-17 15:59:01,412:ERROR:1533 MUNN AVENUE HILLSIDE NJ 07205
2020-03-17 15:59:01,412:ERROR:336 TRINITY PLACE HILLSIDE NJ 07205
2020-03-17 15:59:01,412:ERROR:414 FRANKLIN STREET ELIZABETHPORT NJ 07206
2020-03-17 15:59:01,412:ERROR:607 FILBERT STREET ROSELLE PARK NJ 07204-1332
2020-03-17 15:59:01,412:ERROR:508 WALNUT STREET ROSELLE NJ 07203
2020-03-17 15:59:01,412:ERROR:2 HART PLACE UNION NJ 07083
2020-03-17 15:59:01,412:ERROR:6 SCOTCHWOOD GLEN SCOTCH PLAINS NJ 07076
2020-03-17 15:59:01,412:ERROR:1255 ERHARDT STREET UNION NJ 07083
2020-03-17 15:59:01,412:ERROR:1148 FOREST DRIVE CLARK NJ 07066
2020-03-17 15:59:01,412:ERROR:140 LIVINGSTON STREET ELIZABETH NJ 07206-1731
2020-03-17 15:59:01,412:ERROR:1341-43 SOUTH 2ND STREET PLAINFIELD NJ 07063
2020-03-17 15:59:01,412:ERROR:103 EASTERN PARKWAY HILLSIDE NJ 07205
2020-03-17 15:59:01,412:ERROR:109 THOMPSON AVENUE ROSELLE NJ 07203
2020-03-17 15:59:01,412:ERROR:43 GENEVA STREET ELIZABETH NJ 07206
2020-03-17 15:59:01,413:ERROR:516 MAPLEWOOD AVENUE ROSELLE PARK NJ 07204
2020-03-17 15:59:01,413:ERROR:830-834 KILSYTH ROAD ELIZABETH NJ 07208
2020-03-17 15:59:01,413:ERROR:1315 MURRAY AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,413:ERROR:315 SYCAMORE AVENUE SCOTCH PLAINS NJ 07076
2020-03-17 15:59:01,413:ERROR:239-243 JOHNSTON AVENUE PLAINFIELD NJ 07062
2020-03-17 15:59:01,413:ERROR:805 HAMPDEN STREET LINDEN NJ 07036
2020-03-17 15:59:01,413:ERROR:658-660 JEFFERSON AVENUE ELIZABETH NJ 07201
2020-03-17 15:59:01,413:ERROR:863 TERNAY AVENUE SCOTCH PLAINS NJ 07076
2020-03-17 15:59:01,413:ERROR:1410 GUSTAV AVENUE UNION NJ 07083
2020-03-17 15:59:01,413:ERROR:667 SUMMIT ROAD UNION NJ 07083
2020-03-17 15:59:01,413:ERROR:812-814 WEST GRAND STREET ELIZABETH NJ 07202
2020-03-17 15:59:01,413:ERROR:15 WESTBROOK COURT ROSELLE NJ 07203
2020-03-17 15:59:01,413:ERROR:109 MONROE STREET ROSELLE NJ 07203
2020-03-17 15:59:01,413:ERROR:1137 VICTORY AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,413:ERROR:148 E 7TH AVENUE ROSELLE NJ 07203
2020-03-17 15:59:01,413:ERROR:711-713 LINDEN AVENUE WITH A MAILING ADDRESS OF 713 LINDEN AVENUE ELIZABETH NJ 07202
2020-03-17 15:59:01,413:ERROR:1202 EAST 7TH STREET PLAINFIELD NJ 07062
2020-03-17 15:59:01,414:ERROR:308 AMSTERDAM AVENUE ROSELLE NJ 07203
2020-03-17 15:59:01,414:ERROR:491 CENTRAL AVENUE NEW PROVIDENCE NJ 07974
2020-03-17 15:59:01,414:ERROR: 
2020-03-17 15:59:01,414:ERROR:1218 E BLANCKE STREET LINDEN NJ 07036
2020-03-17 15:59:01,414:ERROR:1288 BARBARA AVENUE UNION NJ 07083
2020-03-17 15:59:01,414:ERROR:406 MILLTOWN ROAD SPRINGFIELD NJ 07081
2020-03-17 15:59:01,414:ERROR:943 STERNER ROAD HILLSIDE NJ 07205
2020-03-17 15:59:01,414:ERROR:4 DARBY COURT (MURRAY HILL) NEW PROVIDENCE BOROUGH NJ 07974
2020-03-17 15:59:01,414:ERROR:606-608 SOUTH PARK STREET COMMONLY KNOWN AS 608 SOUTH PARK STREET ELIZABETH NJ 07206
2020-03-17 15:59:01,414:ERROR:1460 EAST 7TH STREET AKA 1460-62 EAST 7TH ST PLAINFIELD NJ 07062
2020-03-17 15:59:01,414:ERROR:1110 SALEM ROAD UNION NJ 07083
2020-03-17 15:59:01,414:ERROR:618 GRIER AVENUE ELIZABETH NJ 07202
2020-03-17 15:59:01,414:ERROR:311 BUTTFIELD DRIVE COMMONLY KNOWN AS 305-11 BUTTFIELD DRIVE PLAINFIELD NJ 07060
2020-03-17 15:59:01,414:ERROR:36 BAILEY STREET HILLSIDE NJ 07205
2020-03-17 15:59:01,414:ERROR:93 PENNSYLVANIA AVENUE HILLSIDE NJ
2020-03-17 15:59:01,414:ERROR:621 AMHERST ROAD LINDEN NJ 07036
2020-03-17 15:59:01,414:ERROR:214 EDGAR PLACE ELIZABETH NJ 07202
2020-03-17 15:59:01,415:ERROR:610 NEW POINT ROAD # 3 ELIZABETH NJ 07206
2020-03-17 15:59:01,415:ERROR:1511 HIAWATHA AVENUE HILLSIDE NJ 07205
2020-03-17 15:59:01,415:ERROR:744 LEHIGH AVENUE UNION NJ
2020-03-17 15:59:01,415:ERROR:140 WASHINGTON AVENUE ELIZABETH NJ 07201
2020-03-17 15:59:01,415:ERROR:309 RARITAN ROAD LINDEN NJ 07036
2020-03-17 15:59:01,415:ERROR:300 PARKSIDE DRIVE UNION NJ 07083
2020-03-17 15:59:01,415:ERROR:643 EAST 7TH STREET PLAINFIELD NJ 07060
2020-03-17 15:59:01,415:ERROR:1220-22 LENOX AVENUE MAILING ADDRESS OF 1222 LENOX AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,415:ERROR:438 BROADWAY ELIZABETH NJ 07206
2020-03-17 15:59:01,415:ERROR:318 LINDEN ROAD ROSELLE NJ 07203
2020-03-17 15:59:01,415:ERROR:17 COUNTRY CLUB LANE ELIZABETH NJ 07208
2020-03-17 15:59:01,415:ERROR:523 DRAKE AVENUE ROSELLE NJ 07203
2020-03-17 15:59:01,415:ERROR:339 S PARK STREET A/K/A 339 SOUTH PARK STREET ELIZABETH NJ 07206
2020-03-17 15:59:01,415:ERROR:161 BAILEY AVENUE HILLSIDE NJ 07205
2020-03-17 15:59:01,415:ERROR:2708 CAROL ROAD UNION NJ 07083
2020-03-17 15:59:01,415:ERROR:496 MOUNTAIN AVENUE SPRINGFIELD NJ 07081
2020-03-17 15:59:01,415:ERROR:2338 REDWOOD ROAD SCOTCH PLAINS NJ 07076
2020-03-17 15:59:01,415:ERROR:133 WEST 4TH AVENUE ROSELLE NJ 07203-2056
2020-03-17 15:59:01,416:ERROR:136 EAST 9TH STREET PLAINFIELD NJ 07060
2020-03-17 15:59:01,416:ERROR:2251 NEWARK AVE SCOTCH PLAINS NJ 07076
2020-03-17 15:59:01,416:ERROR:26 BIRCH AVENUE PLAINFIELD NJ 07062
2020-03-17 15:59:01,416:ERROR:125 PERSHING AVENUE ROSELLE PARK NJ
2020-03-17 15:59:01,416:ERROR:523 WALNUT STREET ROSELLE NJ 07203-2007
2020-03-17 15:59:01,416:ERROR:626-630 MAPLE AVENUE ELIZABETH NJ 07206
2020-03-17 15:59:01,416:ERROR:7 LAWN TERRACE CRANFORD NJ 07016
2020-03-17 15:59:01,416:ERROR:112 ELMORA AVE CRANFORD NJ 07016
2020-03-17 15:59:01,416:ERROR:68 BAILEY AVENUE HILLSIDE NJ 07205
